probability_of_default,expected_loss,credit_rating
0.9155,7273.61,E
0.5575,5369.72,E
0.9238,2039.88,E
0.3131,447.59,E
0.0383,157.97,B
0.0787,493.35,C
0.5465,2730.28,E
0.2804,1632.12,E
0.8519,2241.74,E
0.5363,1587.34,E
0.0217,75.31,B
0.0284,138.58,B
0.7638,1803.49,E
0.3014,1286.63,E
0.9525,3548.31,E
0.8015,6326.77,E
0.1754,580.9,D
0.0689,410.53,C
0.2022,618.07,E
0.8006,2781.02,E
0.5728,1804.58,E
0.9231,3506.29,E
0.81,4579.83,E
0.3601,897.72,E
0.0173,34.51,A
0.1892,432.63,D
0.8843,3964.3,E
0.0384,186.41,B
0.9294,11434.96,E
0.5812,2151.99,E
0.2097,828.9,E
0.1451,1123.94,D
0.3019,2346.15,E
0.609,2760.45,E
0.895,2071.13,E
0.7938,3500.94,E
0.191,353.25,D
0.1655,316.28,D
0.4269,895.84,E
0.7569,1934.75,E
0.2533,2092.63,E
0.7654,9417.84,E
0.321,1410.96,E
0.291,897.82,E
0.5693,2144.37,E
0.7664,3481.4,E
0.8525,3186.9,E
0.1605,1539.3,D
0.0134,30.68,A
0.8846,3211.38,E
0.7247,8916.37,E
0.2994,227.52,E
0.8694,9302.52,E
0.3536,2292.69,E
0.9062,2870.4,E
0.9326,2023.13,E
0.3362,2341.41,E
0.2262,1686.58,E
0.6549,2346.15,E
0.6661,2063.67,E
0.3788,1481.79,E
0.4102,1490.69,E
0.4736,2921.43,E
0.4205,1368.57,E
0.2359,1107.92,E
0.6734,2906.24,E
0.0413,69.04,B
0.339,1170.87,E
0.8403,2708.21,E
0.8304,1841.77,E
0.6765,2296.97,E
0.9181,5157.16,E
0.3205,986.21,E
0.0145,41.87,A
0.1169,364.93,D
0.8075,4451.86,E
0.6414,1739.06,E
0.3875,3877.32,E
0.9609,5897.33,E
0.6742,6020.26,E
0.1613,1171.93,D
0.3951,741.6,E
0.016,26.94,A
0.6883,2485.64,E
0.9728,3966.23,E
0.2907,1072.3,E
0.0031,20.87,A
0.0721,682.1,C
0.6749,5384.18,E
0.9365,4058.57,E
0.9597,4608.36,E
0.9075,4197.06,E
0.0344,152.78,B
0.3127,1729.39,E
0.8503,2432.98,E
0.009,30.15,A
0.3669,845.41,E
0.8924,2275.07,E
0.3228,2184.59,E
0.7332,2662.95,E
0.9438,2914.98,E
0.5914,1342.21,E
0.1397,809.16,D
0.0353,236.63,B
0.1828,1029.13,D
0.4546,2110.28,E
0.8845,4500.27,E
0.1424,565.44,D
0.2913,2349.28,E
0.098,273.43,C
0.6514,2657.46,E
0.7368,4063.47,E
0.3046,3306.87,E
0.1541,266.18,D
0.9531,6035.76,E
0.3172,1584.91,E
0.1345,160.57,D
0.721,5407.84,E
0.2131,184.12,E
0.5332,3312.51,E
0.0191,98.99,A
0.7606,6265.87,E
0.0551,176.15,C
0.8211,3049.33,E
0.5787,6014.38,E
0.727,6143.36,E
0.404,2118.06,E
0.0876,203.73,C
0.3609,1229.71,E
0.0164,135.44,A
0.7822,3400.25,E
0.6733,7090.15,E
0.1405,1049.6,D
0.3267,1262.78,E
0.8697,6698.0,E
0.2585,1791.71,E
0.2507,1171.87,E
0.0726,260.98,C
0.9332,4656.92,E
0.2481,928.19,E
0.9004,4876.43,E
0.8401,1805.88,E
0.614,2548.59,E
0.5252,1616.33,E
0.8536,4467.82,E
0.7038,679.01,E
0.2187,820.44,E
0.5794,2351.97,E
0.0786,128.54,C
0.9012,9767.03,E
0.933,2194.05,E
0.1166,528.2,D
0.9391,3372.13,E
0.8143,2011.73,E
0.0941,344.72,C
0.3596,2511.69,E
0.1765,454.82,D
0.9469,2860.45,E
0.0321,95.13,B
0.1784,1022.63,D
0.2466,430.74,E
0.7223,4171.66,E
0.0272,66.1,B
0.2399,1804.16,E
0.8195,10083.58,E
0.4133,1003.05,E
0.8039,2692.7,E
0.9988,3659.72,E
0.5577,2303.85,E
0.5158,2300.73,E
0.1445,280.57,D
0.5449,3406.07,E
0.9329,6593.84,E
0.0863,441.77,C
0.0064,27.57,A
0.2952,3632.36,E
0.0809,520.04,C
0.9471,2279.41,E
0.5315,1641.57,E
0.8391,2308.72,E
0.0394,81.32,B
0.0087,30.73,A
0.6701,872.03,E
0.095,356.33,C
0.8276,3120.03,E
0.61,1187.96,E
0.1478,472.94,D
0.562,6914.54,E
0.534,1302.56,E
0.7849,4006.55,E
0.8511,4534.54,E
0.697,1314.18,E
0.0502,496.24,C
0.5016,4760.81,E
0.064,169.23,C
0.355,1895.13,E
0.5826,2518.49,E
0.5672,4150.63,E
0.0661,356.05,C
0.8659,1380.37,E
0.9301,1484.95,E
0.8743,2903.81,E
0.3704,4186.58,E
0.974,5500.09,E
0.9558,4124.55,E
0.2626,3230.49,E
0.0735,904.52,C
0.9011,2382.57,E
0.7361,7361.44,E
0.0426,225.87,B
0.3526,1805.06,E
0.0629,487.98,C
0.9286,4018.07,E
0.8328,3824.63,E
0.7754,8788.46,E
0.0897,887.68,C
0.6866,7233.18,E
0.6241,4969.0,E
0.0198,118.92,A
0.9284,5801.14,E
0.9705,1562.34,E
0.8407,1970.43,E
0.7366,4326.59,E
0.9549,4187.08,E
0.1712,634.81,D
0.1967,1029.84,D
0.9958,4288.46,E
0.543,4761.24,E
0.5156,959.63,E
0.104,777.86,D
0.9754,3187.25,E
0.1395,1010.84,D
0.2823,2563.01,E
0.9848,3780.79,E
0.8255,1815.09,E
0.184,1187.86,D
0.1885,971.54,D
0.1985,1181.19,D
0.6517,3175.24,E
0.0916,1127.63,C
0.1997,893.64,D
0.3499,1221.44,E
0.9578,2789.37,E
0.9086,5519.54,E
0.1153,299.79,D
0.4387,1164.44,E
0.0695,195.9,C
0.8461,10410.62,E
0.8757,4410.75,E
0.2405,998.8,E
0.9533,2304.69,E
0.7739,3405.25,E
0.15,500.92,D
0.0036,14.44,A
0.4603,2419.62,E
0.0236,37.85,B
0.0463,199.05,B
0.993,5672.28,E
0.1095,700.03,D
0.4123,1355.71,E
0.7851,3181.35,E
0.0541,220.0,C
0.0415,143.94,B
0.0306,194.16,B
0.7747,2189.88,E
0.6491,4487.98,E
0.5398,2865.23,E
0.9605,6617.95,E
0.9482,8303.89,E
0.9578,1652.97,E
0.09,436.27,C
0.6363,2235.26,E
0.6843,3024.32,E
0.8648,3988.9,E
0.3746,1676.74,E
0.0582,334.65,C
0.5522,2567.03,E
0.3063,1196.37,E
0.741,3286.19,E
0.4418,1958.98,E
0.059,258.06,C
0.8356,4981.37,E
0.0447,456.89,B
0.5484,1597.87,E
0.6088,6614.29,E
0.7138,3769.11,E
0.9031,3509.22,E
0.5623,1363.37,E
0.59,3318.76,E
0.5278,3204.46,E
0.4759,5855.48,E
0.9678,2373.41,E
0.1766,1047.76,D
0.3968,335.39,E
0.825,3427.52,E
0.9207,7276.61,E
0.4742,1132.07,E
0.807,6918.76,E
0.7863,3007.12,E
0.8881,3832.61,E
0.4525,2853.68,E
0.4749,2084.04,E
0.1553,548.24,D
0.0033,19.79,A
0.5296,2847.87,E
0.0736,302.94,C
0.7108,5433.28,E
0.9631,3045.6,E
0.0172,58.15,A
0.6864,1638.11,E
0.1472,265.61,D
0.1899,1394.14,D
0.1911,689.52,D
0.6754,4211.42,E
0.586,2219.81,E
0.3186,3089.69,E
0.8278,1471.79,E
0.0118,49.97,A
0.2379,827.56,E
0.3303,1849.7,E
0.8772,3963.13,E
0.9615,4312.61,E
0.5046,2844.02,E
0.6052,1539.31,E
0.7689,1517.88,E
0.6471,1636.81,E
0.9794,3637.63,E
0.6371,1155.96,E
0.1204,241.7,D
0.6687,5385.88,E
0.9354,4938.17,E
0.8081,5087.81,E
0.7498,2035.65,E
0.0429,131.43,B
0.7928,2118.02,E
0.9647,5234.1,E
0.9038,8623.03,E
0.9928,4018.46,E
0.9521,8461.36,E
0.4882,2839.64,E
0.8604,2048.58,E
0.8318,2391.66,E
0.9782,10293.68,E
0.1954,1264.97,D
0.7025,3195.14,E
0.615,1568.77,E
0.0062,6.27,A
0.446,1385.94,E
0.8365,3914.37,E
0.9713,6150.36,E
0.3368,2810.67,E
0.8635,5037.01,E
0.713,2915.48,E
0.3992,397.77,E
0.015,131.2,A
0.0311,155.16,B
0.6602,4494.78,E
0.5498,1187.63,E
0.2893,945.99,E
0.3144,985.11,E
0.8663,4246.47,E
0.2637,2711.63,E
0.4365,2753.14,E
0.7373,4052.5,E
0.1919,1846.52,D
0.2738,446.17,E
0.382,1105.6,E
0.1048,878.66,D
0.5613,6234.0,E
0.5486,2243.3,E
0.5788,4674.52,E
0.7347,4951.4,E
0.9229,1247.23,E
0.8749,10765.35,E
0.5489,979.35,E
0.9522,7291.96,E
0.0904,151.27,C
0.085,232.33,C
0.5244,1751.46,E
0.334,1717.54,E
0.4893,1504.51,E
0.0323,198.09,B
0.252,1324.48,E
0.1555,645.11,D
0.8195,4581.46,E
0.6857,5111.76,E
0.0742,82.59,C
0.0559,688.1,C
0.1744,403.22,D
0.2831,1352.57,E
0.9603,5343.48,E
0.9891,12170.53,E
0.0199,25.88,A
0.758,728.63,E
0.7587,6350.74,E
0.8516,5140.28,E
0.1318,572.96,D
0.3104,568.23,E
0.9447,5500.69,E
0.9734,4365.08,E
0.458,3757.37,E
0.5983,4521.6,E
0.2933,1808.08,E
0.6829,3571.49,E
0.8548,5913.01,E
0.3001,1113.25,E
0.5756,5296.94,E
0.5726,1311.29,E
0.1804,962.83,D
0.6645,3172.08,E
0.9753,6555.23,E
0.8669,10666.58,E
0.0829,411.12,C
0.018,35.59,A
0.3778,3449.98,E
0.5758,4318.33,E
0.1245,1121.57,D
0.9686,3761.52,E
0.1833,1152.06,D
0.2789,330.57,E
0.1489,490.82,D
0.8963,2461.76,E
0.4631,849.46,E
0.7104,2588.0,E
0.3896,1020.3,E
0.7608,3866.68,E
0.699,8600.87,E
0.1006,194.22,D
0.3723,4576.26,E
0.3406,1896.71,E
0.1524,360.76,D
0.3702,947.59,E
0.4716,4048.07,E
0.8849,5555.49,E
0.6696,807.42,E
0.2801,1543.45,E
0.6448,2768.73,E
0.9066,2991.41,E
0.0713,598.92,C
0.3199,646.67,E
0.2102,574.29,E
0.1175,1260.12,D
0.2028,732.84,E
0.3437,739.06,E
0.2705,1339.09,E
0.056,338.86,C
0.9761,5308.17,E
0.1595,854.49,D
0.719,4596.92,E
0.3768,1162.91,E
0.4576,1985.89,E
0.8946,2411.93,E
0.9959,4998.24,E
0.3471,2024.24,E
0.0383,256.09,B
0.6157,1347.26,E
0.0237,137.15,B
0.5861,2457.94,E
0.9795,7761.3,E
0.4748,2348.42,E
0.9805,6089.68,E
0.7065,3445.42,E
0.0225,88.12,B
0.8168,4073.89,E
0.4208,1932.6,E
0.9113,3788.2,E
0.843,2898.46,E
0.836,3054.04,E
0.9871,3111.6,E
0.9936,1908.12,E
0.1774,752.5,D
0.1029,501.92,D
0.7671,3514.92,E
0.246,1520.32,E
0.3692,1608.98,E
0.141,369.69,D
0.2252,854.52,E
0.7089,2486.61,E
0.994,6689.83,E
0.0389,235.97,B
0.506,4035.18,E
0.8588,2979.58,E
0.0154,141.06,A
0.3381,1163.4,E
0.2167,1492.55,E
0.2712,1735.37,E
0.8658,793.54,E
0.2185,1209.77,E
0.1425,310.78,D
0.8098,6531.55,E
0.7505,1367.21,E
0.0139,60.69,A
0.3356,2486.32,E
0.7608,3903.83,E
0.9621,1964.41,E
0.6619,1073.94,E
0.6451,3015.39,E
0.3876,2137.17,E
0.5511,1208.28,E
0.2523,2778.33,E
0.1946,920.28,D
0.8261,10164.24,E
0.6849,4247.49,E
0.3474,1388.43,E
0.5533,6807.35,E
0.6121,2040.43,E
0.0197,36.34,A
0.2025,540.53,E
0.9241,1545.53,E
0.0238,268.47,B
0.5583,1789.59,E
0.3491,1105.8,E
0.0324,372.67,B
0.1874,469.94,D
0.9644,4346.42,E
0.0396,296.27,B
0.2639,327.63,E
0.9624,5049.12,E
0.9631,4058.69,E
0.7748,3458.9,E
0.7538,9274.89,E
0.2669,411.39,E
0.4869,5679.71,E
0.0708,840.63,C
0.857,4836.49,E
0.7655,5044.4,E
0.649,1854.97,E
0.227,474.34,E
0.939,9342.64,E
0.0757,281.23,C
0.8941,3383.91,E
0.248,1422.33,E
0.3417,1132.78,E
0.0051,20.22,A
0.4789,3450.75,E
0.0407,114.96,B
0.8348,4251.13,E
0.9413,3785.2,E
0.2822,3472.59,E
0.9704,1010.54,E
0.6466,7956.16,E
0.1598,951.55,D
0.3345,2036.14,E
0.9334,5595.25,E
0.8223,713.93,E
0.3335,1479.83,E
0.9486,5051.49,E
0.6222,5334.4,E
0.4194,1708.95,E
0.9817,4554.53,E
0.915,5453.68,E
0.5835,1679.86,E
0.1488,726.76,D
0.5298,1670.07,E
0.4952,1484.21,E
0.099,386.86,C
0.6472,2025.05,E
0.0128,109.83,A
0.1636,542.8,D
0.0315,387.4,B
0.2078,592.68,E
0.1606,545.16,D
0.1801,2216.45,D
0.9746,2096.39,E
0.8855,1965.68,E
0.5466,2086.64,E
0.7649,1335.43,E
0.1273,440.74,D
0.19,864.6,D
0.5948,6895.49,E
0.8762,2650.72,E
0.6411,5746.77,E
0.9469,1752.38,E
0.6569,1572.36,E
0.2974,2923.46,E
0.9675,5158.74,E
0.3832,2131.04,E
0.9326,1733.03,E
0.9099,3318.84,E
0.5108,1630.81,E
0.9574,2625.9,E
0.1561,1253.16,D
0.3838,2668.04,E
0.0401,335.07,B
0.6385,3817.35,E
0.2033,1212.99,E
0.1036,741.3,D
0.3658,2426.72,E
0.0324,152.57,B
0.6779,2709.38,E
0.6319,848.94,E
0.8788,7468.15,E
0.7746,2686.31,E
0.2863,1291.59,E
0.8939,6770.96,E
0.3322,481.68,E
0.7797,2851.19,E
0.7632,864.2,E
0.1389,361.94,D
0.712,7135.77,E
0.9962,3322.02,E
0.0733,902.44,C
0.3975,3973.68,E
0.922,5273.65,E
0.5548,2703.12,E
0.8445,5298.73,E
0.7859,4044.28,E
0.4966,6110.58,E
0.452,1166.38,E
0.3965,1135.34,E
0.2862,1249.72,E
0.3843,623.58,E
0.3558,1465.04,E
0.1626,409.32,D
0.2672,2928.42,E
0.9317,3172.03,E
0.9874,12148.83,E
0.1121,393.98,D
0.4829,377.24,E
0.4742,3340.4,E
0.8741,7464.67,E
0.0327,313.95,B
0.0897,108.32,C
0.296,1485.28,E
0.3876,2517.76,E
0.7461,5573.51,E
0.5852,2077.61,E
0.8929,6318.77,E
0.1146,1409.57,D
0.8842,4401.55,E
0.5479,2536.59,E
0.537,2394.24,E
0.3757,699.55,E
0.2145,1088.26,E
0.2853,1844.38,E
0.1809,1008.4,D
0.1996,643.72,D
0.3017,608.92,E
0.4362,4192.05,E
0.9067,11155.73,E
0.1882,1465.72,D
0.566,5097.57,E
0.7968,1098.07,E
0.964,3778.29,E
0.7189,3024.46,E
0.5355,3518.93,E
0.1099,310.49,D
0.1185,257.27,D
0.126,423.1,D
0.4629,943.75,E
0.3513,4321.95,E
0.0943,221.73,C
0.0309,186.08,B
0.798,1717.35,E
0.5561,3530.46,E
0.0096,47.0,A
0.5319,1973.85,E
0.3549,733.72,E
0.1763,2169.32,D
0.697,3357.44,E
0.8859,1500.15,E
0.0056,16.7,A
0.1636,727.7,D
0.2834,1367.06,E
0.2182,529.49,E
0.4983,4795.73,E
0.752,1477.45,E
0.5407,6457.92,E
0.0113,139.57,A
0.2713,1150.78,E
0.5177,1958.02,E
0.8206,1939.07,E
0.9818,5709.67,E
0.7217,1709.16,E
0.9791,6975.76,E
0.0796,204.6,C
0.0433,406.95,B
0.8519,3442.53,E
0.7431,6324.38,E
0.0014,2.56,A
0.8585,3010.19,E
0.5304,1014.27,E
0.9703,2164.79,E
0.6298,3150.72,E
0.4952,2435.51,E
0.1598,619.43,D
0.9071,3266.87,E
0.3595,970.89,E
0.0686,844.29,C
0.8674,3371.61,E
0.9898,3191.89,E
0.9798,4673.54,E
0.9473,3028.65,E
0.4035,993.07,E
0.9626,8536.89,E
0.4328,430.96,E
0.2352,1028.95,E
0.0214,56.57,B
0.5702,1844.13,E
0.9183,4606.38,E
0.9732,3992.61,E
0.6646,1456.45,E
0.2069,423.39,E
0.4491,2994.49,E
0.2805,458.19,E
0.5576,630.05,E
0.0914,452.5,C
0.2946,1285.38,E
0.8731,3974.5,E
0.7503,9231.52,E
0.4607,2730.02,E
0.9288,3708.35,E
0.766,3490.33,E
0.0549,243.01,C
0.2043,674.86,E
0.0068,15.5,A
0.4572,602.9,E
0.4018,2418.26,E
0.9162,3175.54,E
0.3093,1559.32,E
0.321,2067.75,E
0.3164,3865.17,E
0.1401,1065.07,D
0.914,6221.03,E
0.3115,1507.19,E
0.1296,908.47,D
0.3592,3375.78,E
0.2268,2655.48,E
0.0746,504.2,C
0.9034,7185.66,E
0.5434,2005.82,E
0.5784,3169.73,E
0.035,273.75,B
0.1802,745.0,D
0.1533,422.39,D
0.8051,8154.07,E
0.9736,4547.72,E
0.5569,5671.19,E
0.8951,5288.97,E
0.0384,137.48,B
0.9876,3925.32,E
0.0514,229.34,C
0.0934,379.49,C
0.2043,1174.35,E
0.2379,588.08,E
0.9203,5620.1,E
0.9925,2773.74,E
0.5077,1420.69,E
0.0985,169.52,C
0.1907,756.48,D
0.7984,3536.05,E
0.8626,1489.39,E
0.394,4847.99,E
0.162,430.66,D
0.3533,1576.36,E
0.7794,3819.41,E
0.0084,56.47,A
0.2002,776.17,E
0.6903,3560.78,E
0.0257,316.77,B
0.0127,51.43,A
0.7827,5415.41,E
0.0778,430.01,C
0.6999,3076.03,E
0.4486,3578.8,E
0.8931,3512.3,E
0.8523,1872.19,E
0.5083,1429.97,E
0.9479,2520.02,E
0.9777,8954.72,E
0.7254,4976.35,E
0.3371,840.24,E
0.2126,640.53,E
0.1444,1776.18,D
0.9977,8805.08,E
0.9637,2691.7,E
0.3333,1181.15,E
0.5236,2211.11,E
0.008,52.1,A
0.5883,3686.41,E
0.8261,4979.84,E
0.2979,1034.45,E
0.847,3539.65,E
0.8444,3091.3,E
0.9492,7226.92,E
0.1679,225.47,D
0.6274,2860.78,E
0.8568,1946.24,E
0.2398,511.32,E
0.4894,1291.29,E
0.7523,2432.61,E
0.5024,1016.92,E
0.3594,1941.68,E
0.0345,424.39,B
0.4239,5216.26,E
0.4586,1140.98,E
0.0678,571.74,C
0.7939,6966.63,E
0.8013,2740.72,E
0.8259,6820.68,E
0.0419,97.77,B
0.0581,181.9,C
0.4978,1976.72,E
0.1602,617.04,D
0.8506,4174.35,E
0.4606,3222.89,E
0.5715,2228.46,E
0.0459,95.34,B
0.0526,234.26,C
0.7652,9163.55,E
0.6952,5281.87,E
0.8326,1063.95,E
0.7045,1157.69,E
0.5498,4598.85,E
0.8952,2813.48,E
0.947,6394.96,E
0.9692,4740.04,E
0.0172,25.21,A
0.8743,9200.96,E
0.775,1468.24,E
0.7543,2487.76,E
0.0753,271.29,C
0.277,968.97,E
0.8712,5232.42,E
0.8532,4194.6,E
0.516,3466.94,E
0.4256,3955.52,E
0.487,4840.2,E
0.1909,342.99,D
0.3124,1371.39,E
0.0606,510.19,C
0.0948,431.81,C
0.1201,335.24,D
0.5281,3605.43,E
0.5831,2541.55,E
0.7029,2433.08,E
0.3824,527.24,E
0.6023,1713.07,E
0.914,1136.98,E
0.6472,1828.2,E
0.7456,4602.43,E
0.1253,801.37,D
0.0252,172.31,B
0.1045,288.53,D
0.0634,63.76,C
0.1484,644.18,D
0.8924,879.14,E
0.7118,7764.74,E
0.9156,2712.86,E
0.3456,1715.53,E
0.9858,4527.8,E
0.5924,2632.27,E
0.518,1476.24,E
0.6201,7629.8,E
0.6292,2030.4,E
0.9444,4624.41,E
0.03,251.05,B
0.1791,1082.48,D
0.72,3264.33,E
0.0904,499.93,C
0.6435,5429.07,E
0.0324,142.49,B
0.4316,2837.83,E
0.8424,2368.25,E
0.3664,551.14,E
0.9929,5124.48,E
0.8101,3434.15,E
0.0254,110.07,B
0.1186,775.09,D
0.6466,3885.03,E
0.5449,2628.95,E
0.8806,10834.7,E
0.835,1588.58,E
0.8894,4394.78,E
0.1445,729.5,D
0.1478,1011.12,D
0.6457,4046.3,E
0.0206,188.5,B
0.6571,2230.57,E
0.728,3553.54,E
0.9645,2953.26,E
0.3328,883.9,E
0.4749,1396.19,E
0.9518,11710.62,E
0.7407,3368.47,E
0.5351,5764.79,E
0.6566,2055.06,E
0.7295,1668.21,E
0.646,2666.57,E
0.341,1691.9,E
0.4121,2067.89,E
0.4587,4111.46,E
0.9743,2655.03,E
0.5172,2750.06,E
0.0484,156.54,B
0.7455,2186.91,E
0.0968,277.79,C
0.308,1860.75,E
0.804,3248.98,E
0.8669,4087.46,E
0.9676,2887.9,E
0.9525,1735.32,E
0.9321,1479.6,E
0.7773,6745.97,E
0.0378,363.85,B
0.862,3738.07,E
0.0524,256.86,C
0.5386,4260.3,E
0.1634,761.09,D
0.4627,2280.26,E
0.9549,3681.08,E
0.3817,3227.71,E
0.931,8713.15,E
0.3647,2077.04,E
0.4518,1169.8,E
0.2789,2461.7,E
0.3054,3360.25,E
0.0558,249.2,C
0.9635,2685.23,E
0.047,83.3,B
0.9854,3296.38,E
0.124,357.65,D
0.8873,4455.63,E
0.3106,1011.2,E
0.5886,1346.81,E
0.9105,3501.24,E
0.9434,2131.13,E
0.8008,6975.3,E
0.8406,2361.01,E
0.8871,3452.76,E
0.9112,7310.65,E
0.8892,5490.85,E
0.3396,1501.68,E
0.9899,6794.38,E
0.7348,2835.27,E
0.2905,695.45,E
0.7546,4643.11,E
0.304,566.43,E
0.7187,1297.68,E
0.7415,4188.91,E
0.7139,6725.18,E
0.5551,1504.86,E
0.8562,2993.92,E
0.8451,3749.24,E
0.7907,1114.45,E
0.2686,865.58,E
0.0255,49.8,B
0.7124,2501.97,E
0.3818,1027.56,E
0.011,34.35,A
0.1264,1271.33,D
0.1613,274.5,D
0.5752,2405.79,E
0.3315,1226.95,E
0.831,1686.55,E
0.9165,4862.92,E
0.4972,1583.26,E
