applicant_id,age,income,employment_length,loan_amount,credit_score,existing_debt,num_credit_accounts,credit_history_years,num_late_payments,home_ownership,loan_purpose,default
APP100098,52,48090.07,24.0,7507.81,653.0,5497.9,13,2,3,MORTGAGE,debt_consolidation,1
APP100099,27,63791.96,3.0,32934.75,724.0,8043.8,1,22,2,OWN,home_improvement,1
APP100100,61,25432.87,6.0,32847.86,625.0,3213.17,6,0,0,MORTGAGE,business,0
APP100101,30,48693.03,39.0,3456.67,777.0,2178.38,12,4,0,OWN,credit_card,0
APP100102,60,40051.01,15.0,23867.08,687.0,6568.74,4,5,1,RENT,business,0
APP100103,21,15432.49,4.0,8346.98,587.0,4412.44,12,19,1,OWN,car,1
APP100104,60,93926.71,27.0,7038.98,699.0,5480.24,11,9,0,OWN,home_improvement,0
APP100105,59,17687.48,8.0,13558.69,652.0,8314.16,8,6,3,OWN,car,1
APP100106,59,44790.38,23.0,5405.92,633.0,13986.23,0,22,0,MORTGAGE,business,1
APP100107,53,44133.75,32.0,13375.74,657.0,8354.97,13,6,1,RENT,business,0
APP100108,44,41681.74,27.0,5628.08,710.0,7521.74,7,28,0,MORTGAGE,business,0
APP100109,55,28359.34,9.0,11006.57,480.0,3293.47,9,24,1,MORTGAGE,debt_consolidation,1
APP100110,34,54919.64,9.0,22053.3,621.0,3723.9,10,26,2,MORTGAGE,debt_consolidation,1
APP100111,59,16644.19,8.0,12480.35,704.0,7069.91,7,20,1,RENT,debt_consolidation,0
APP100112,48,35139.66,25.0,7975.46,669.0,3675.34,2,8,2,RENT,other,0
APP100113,43,27393.54,26.0,13695.83,559.0,7046.51,8,19,0,RENT,business,0
APP100114,45,25883.24,20.0,4256.11,460.0,2559.34,8,22,2,RENT,car,1
APP100115,48,44998.03,15.0,5983.04,786.0,23005.29,1,27,1,MORTGAGE,car,0
APP100116,22,62239.14,2.0,7645.24,635.0,5738.44,2,1,0,MORTGAGE,credit_card,0
APP100117,27,30588.28,33.0,15868.8,771.0,5444.73,3,26,1,MORTGAGE,debt_consolidation,0
APP100118,33,53655.57,26.0,12625.57,713.0,3340.63,5,24,0,RENT,home_improvement,0
APP100119,26,37230.01,25.0,13644.61,586.0,22706.73,8,25,0,RENT,credit_card,0
APP100120,42,23240.09,4.0,9735.85,449.0,1803.29,9,6,1,MORTGAGE,credit_card,1
APP100121,53,31921.15,11.0,6168.06,613.0,2800.59,1,4,4,MORTGAGE,credit_card,1
APP100122,53,,12.0,24170.06,647.0,9729.07,12,19,0,RENT,debt_consolidation,1
APP100123,44,25633.88,23.0,6511.49,686.0,5953.44,12,4,2,OWN,credit_card,1
APP100124,62,44992.07,31.0,12726.27,561.0,3098.23,1,5,1,RENT,business,0
APP100125,48,40836.15,34.0,9253.32,664.0,3170.14,2,29,3,MORTGAGE,debt_consolidation,1
APP100126,24,16394.07,20.0,13874.33,664.0,3894.37,12,27,2,MORTGAGE,home_improvement,1
APP100127,58,15902.59,14.0,6882.3,728.0,5333.23,6,17,1,OWN,home_improvement,0
APP100128,49,44906.7,16.0,18612.83,625.0,17032.95,6,19,4,MORTGAGE,credit_card,1
APP100129,52,24157.66,29.0,22628.53,685.0,7975.5,7,16,2,MORTGAGE,debt_consolidation,1
APP100130,48,42235.68,12.0,17940.1,673.0,11144.13,14,22,2,OWN,debt_consolidation,0
APP100131,48,53662.29,16.0,10878.84,720.0,3472.33,2,15,1,OWN,credit_card,0
APP100132,25,19235.71,31.0,7623.0,584.0,7424.82,14,18,0,MORTGAGE,credit_card,0
APP100133,48,17930.01,21.0,53812.82,404.0,1416.82,3,22,5,OWN,debt_consolidation,1
APP100134,59,83886.15,18.0,5459.02,631.0,5685.7,13,23,0,MORTGAGE,business,0
APP100135,35,,29.0,16793.34,631.0,5401.16,7,17,2,OWN,debt_consolidation,0
APP100136,50,,11.0,12084.4,557.0,21102.22,11,22,2,RENT,debt_consolidation,1
APP100137,22,22766.14,2.0,9532.65,529.0,17086.91,1,4,1,MORTGAGE,home_improvement,1
APP100138,38,28135.28,31.0,11060.08,604.0,3996.8,5,1,1,MORTGAGE,car,1
APP100139,42,20024.54,18.0,7287.17,640.0,2556.23,2,3,2,RENT,credit_card,1
APP100140,69,56483.63,13.0,12787.63,657.0,2612.98,8,22,3,OWN,credit_card,1
APP100141,31,24627.63,3.0,11969.23,467.0,3882.69,0,9,0,RENT,car,1
APP100142,34,62740.8,37.0,49345.01,509.0,13924.33,5,23,2,MORTGAGE,business,1
APP100143,41,29723.27,29.0,18816.57,740.0,6849.47,7,26,2,MORTGAGE,credit_card,0
APP100144,69,21554.18,10.0,13487.65,634.0,7438.37,7,21,1,RENT,home_improvement,1
APP100145,62,29344.17,24.0,13979.33,649.0,9404.71,12,12,1,OWN,business,1
APP100146,22,9778.26,18.0,29843.51,543.0,2218.69,9,3,1,RENT,home_improvement,1
APP100147,32,34187.51,13.0,5528.9,649.0,2787.09,12,26,2,RENT,debt_consolidation,0
APP100148,61,33354.25,12.0,8869.38,619.0,7451.62,7,10,2,MORTGAGE,debt_consolidation,0
APP100149,23,54850.76,3.0,3151.76,600.0,2635.59,5,17,1,OWN,car,0
APP100150,62,14141.2,38.0,13839.25,533.0,1449.35,4,21,2,OWN,credit_card,1
APP100151,34,64921.44,37.0,16463.55,580.0,2067.17,10,27,1,MORTGAGE,debt_consolidation,0
APP100152,65,54737.24,34.0,5446.02,807.0,11424.2,13,15,0,RENT,debt_consolidation,0
APP100153,35,67915.65,12.0,23413.03,622.0,3643.63,14,26,2,MORTGAGE,debt_consolidation,1
APP100154,42,35370.71,39.0,6429.63,713.0,5888.05,3,21,1,OWN,credit_card,0
APP100155,53,60291.62,11.0,8058.79,634.0,2151.63,6,11,1,OWN,car,0
APP100156,27,17402.65,32.0,10633.23,625.0,6657.66,9,10,1,MORTGAGE,credit_card,1
APP100157,48,51871.45,4.0,25758.45,599.0,3961.3,13,16,0,OWN,credit_card,1
APP100158,45,24696.54,12.0,5914.02,757.0,7023.09,4,21,1,OWN,debt_consolidation,0
APP100159,59,15903.57,23.0,11786.95,679.0,3353.28,11,21,0,RENT,credit_card,0
APP100160,69,20700.84,38.0,15754.84,586.0,7357.14,12,22,1,MORTGAGE,debt_consolidation,1
APP100161,53,36416.07,10.0,13920.0,618.0,3224.04,2,1,1,MORTGAGE,credit_card,1
APP100162,41,24049.04,17.0,14231.89,,4608.89,4,12,1,MORTGAGE,debt_consolidation,0
APP100163,40,43828.38,33.0,15629.26,422.0,3954.68,6,4,2,OWN,home_improvement,1
APP100164,41,14704.09,18.0,7095.15,674.0,5019.02,12,1,3,OWN,home_improvement,1
APP100165,60,12537.15,27.0,27246.16,693.0,6144.13,13,21,1,OWN,car,0
APP100166,36,72127.72,16.0,9258.62,590.0,3307.93,2,29,1,RENT,debt_consolidation,0
APP100167,29,57062.36,0.0,8550.04,662.0,4466.25,2,27,1,RENT,home_improvement,1
APP100168,37,21490.18,11.0,22216.16,690.0,5705.52,5,26,2,OWN,car,1
APP100169,22,36261.08,22.0,6779.51,551.0,7377.2,0,9,0,RENT,business,1
APP100170,26,60460.98,0.0,11994.06,717.0,4624.54,7,4,1,MORTGAGE,debt_consolidation,0
APP100171,25,44783.74,9.0,6414.39,673.0,2417.18,4,11,2,MORTGAGE,home_improvement,0
APP100172,58,39109.14,38.0,44870.75,637.0,5266.72,5,13,1,MORTGAGE,debt_consolidation,0
APP100173,56,62791.63,0.0,39544.93,658.0,8402.42,0,26,1,MORTGAGE,debt_consolidation,0
APP100174,55,25201.12,9.0,9263.67,,1691.71,3,9,1,RENT,car,0
APP100175,43,,24.0,13519.85,835.0,1707.57,1,7,1,RENT,car,0
APP100176,56,35992.85,22.0,9928.06,698.0,2893.53,3,29,0,RENT,credit_card,0
APP100177,28,31685.64,8.0,8029.2,714.0,4213.87,6,27,0,MORTGAGE,car,1
APP100178,65,29884.56,2.0,10633.65,665.0,847.65,3,21,0,RENT,home_improvement,1
APP100179,45,37663.02,35.0,9658.94,802.0,7779.69,11,4,1,MORTGAGE,credit_card,0
APP100180,66,36945.67,22.0,3974.28,532.0,4247.03,6,16,2,OWN,debt_consolidation,0
APP100181,28,21499.53,22.0,11589.03,511.0,749.29,3,7,2,MORTGAGE,car,1
APP100182,45,54225.03,2.0,9649.14,662.0,2017.2,9,4,2,MORTGAGE,car,1
APP100183,55,22288.08,8.0,11936.07,702.0,3864.29,12,1,3,MORTGAGE,debt_consolidation,1
APP100184,45,32561.42,2.0,9447.35,444.0,1190.31,7,9,3,MORTGAGE,credit_card,1
APP100185,42,31330.89,39.0,7972.84,649.0,10682.57,14,2,4,MORTGAGE,debt_consolidation,1
APP100186,29,43436.34,30.0,16729.79,635.0,5707.1,5,2,1,RENT,debt_consolidation,1
APP100187,39,12587.36,21.0,13627.98,709.0,8455.32,6,7,3,OWN,debt_consolidation,1
APP100188,32,56695.77,27.0,22871.08,684.0,2157.67,6,14,2,RENT,car,0
APP100189,35,25887.22,6.0,13317.55,505.0,6830.12,14,19,2,RENT,home_improvement,1
APP100190,54,66834.96,39.0,8790.58,563.0,2897.16,10,26,1,MORTGAGE,other,0
APP100191,51,28593.01,20.0,14329.29,585.0,4213.4,8,6,1,MORTGAGE,credit_card,1
APP100192,50,35439.36,20.0,3015.84,709.0,6517.62,5,23,1,MORTGAGE,business,0
APP100193,38,94550.85,38.0,34968.67,679.0,4646.86,0,28,2,OWN,debt_consolidation,0
APP100194,68,31613.23,3.0,11668.27,600.0,9383.76,13,23,3,RENT,business,1
APP100195,25,67469.1,16.0,36705.19,,5493.18,1,10,1,MORTGAGE,debt_consolidation,1
APP100196,37,37031.44,3.0,5874.6,565.0,3393.1,10,9,1,RENT,debt_consolidation,1
APP100197,26,44699.13,17.0,5061.47,813.0,9646.06,7,15,3,RENT,car,0
APP100198,37,37608.27,10.0,12326.42,695.0,11417.73,10,24,2,RENT,business,1
APP100199,68,55488.21,18.0,12302.05,712.0,5271.54,13,19,1,OWN,home_improvement,1
APP100200,38,25776.9,28.0,12124.06,760.0,14312.46,2,13,1,RENT,business,0
APP100201,65,22202.85,11.0,11064.49,731.0,4071.01,1,4,0,MORTGAGE,debt_consolidation,0
APP100202,45,26389.25,2.0,6789.48,652.0,4436.64,5,20,2,RENT,business,0
APP100203,55,38171.91,6.0,4059.38,635.0,4932.02,8,20,1,MORTGAGE,debt_consolidation,1
APP100204,43,32519.35,28.0,11729.83,753.0,4430.03,1,15,1,MORTGAGE,business,0
APP100205,34,51799.59,23.0,4584.54,652.0,3833.62,12,3,1,MORTGAGE,credit_card,1
APP100206,58,69728.6,39.0,4332.05,590.0,2774.19,9,13,0,RENT,car,1
APP100207,68,22294.18,35.0,7876.36,807.0,2218.76,14,24,0,RENT,home_improvement,0
APP100208,33,25160.37,6.0,12815.3,575.0,5370.14,4,28,1,MORTGAGE,debt_consolidation,1
APP100209,59,17709.92,29.0,32619.17,511.0,12818.86,13,14,0,MORTGAGE,debt_consolidation,1
APP100210,33,100226.36,3.0,17810.72,729.0,9427.26,5,25,1,RENT,home_improvement,0
APP100211,56,42291.22,3.0,23386.88,591.0,6704.05,1,2,0,MORTGAGE,debt_consolidation,0
APP100212,59,46161.49,31.0,14650.02,684.0,13350.85,12,2,2,MORTGAGE,car,1
APP100213,43,18581.02,,12333.97,795.0,4991.03,1,21,1,RENT,car,1
APP100214,57,36294.26,39.0,44510.22,540.0,2228.2,10,29,1,OWN,debt_consolidation,0
APP100215,34,46846.14,0.0,4475.11,646.0,3716.15,3,2,0,RENT,home_improvement,0
APP100216,24,32004.16,20.0,7723.8,768.0,4681.96,10,4,0,OWN,other,0
APP100217,25,62183.99,12.0,8094.11,704.0,3261.89,4,29,0,MORTGAGE,credit_card,0
APP100218,42,115371.84,39.0,16918.01,635.0,8006.86,1,28,2,MORTGAGE,car,0
APP100219,65,22617.26,26.0,5501.27,841.0,10388.26,12,13,1,RENT,debt_consolidation,0
APP100220,27,21784.55,30.0,15647.36,642.0,1229.42,5,1,2,RENT,car,0
APP100221,43,23414.76,11.0,14013.69,681.0,4374.87,9,11,1,MORTGAGE,debt_consolidation,1
APP100222,55,81072.54,35.0,16123.1,781.0,481.79,0,20,2,MORTGAGE,debt_consolidation,0
APP100223,30,61155.66,33.0,15948.72,728.0,4567.59,14,9,1,RENT,credit_card,0
APP100224,56,33936.15,31.0,24909.18,755.0,4526.93,9,9,1,OWN,business,0
APP100225,35,36985.45,19.0,9609.18,578.0,20352.68,6,13,2,MORTGAGE,home_improvement,1
APP100226,60,24142.48,36.0,13603.67,748.0,16010.59,13,13,1,OWN,business,1
APP100227,49,56670.76,26.0,6361.82,663.0,10361.79,6,23,2,MORTGAGE,car,0
APP100228,47,30032.91,2.0,5547.61,590.0,2280.63,4,14,0,OWN,car,0
APP100229,29,31887.26,35.0,28535.3,667.0,2177.63,4,15,0,RENT,business,0
APP100230,43,49236.72,0.0,6079.81,665.0,2045.01,9,12,3,RENT,credit_card,0
APP100231,62,33057.46,27.0,14541.87,799.0,16668.8,6,19,2,MORTGAGE,car,1
APP100232,21,32290.13,9.0,13610.89,680.0,2372.37,8,20,2,MORTGAGE,car,0
APP100233,58,36508.03,35.0,20030.04,587.0,3610.29,11,1,2,MORTGAGE,car,1
APP100234,45,54050.7,29.0,3659.49,569.0,2392.72,9,1,0,OWN,home_improvement,1
APP100235,56,,32.0,16894.18,646.0,1796.26,10,25,1,RENT,debt_consolidation,0
APP100236,53,48666.35,27.0,9558.45,542.0,6413.07,9,1,1,MORTGAGE,other,1
APP100237,42,54266.21,22.0,6905.37,592.0,5556.23,11,15,2,MORTGAGE,debt_consolidation,1
APP100238,36,32862.02,34.0,8514.36,630.0,829.11,10,25,1,RENT,credit_card,0
APP100239,51,25491.52,11.0,18436.04,616.0,1734.46,12,15,5,RENT,debt_consolidation,1
APP100240,27,50362.05,21.0,15348.06,708.0,6027.88,9,2,0,MORTGAGE,debt_consolidation,1
APP100241,49,39561.84,11.0,9165.91,590.0,4638.88,0,7,0,MORTGAGE,debt_consolidation,1
APP100242,25,17830.86,4.0,4996.71,452.0,3566.2,13,4,0,RENT,home_improvement,1
APP100243,52,30821.42,35.0,5212.8,515.0,7978.79,3,2,1,MORTGAGE,debt_consolidation,1
APP100244,51,34841.05,19.0,15550.03,648.0,1549.32,10,10,1,MORTGAGE,business,1
APP100245,25,28135.04,2.0,4597.9,603.0,3053.39,9,10,1,MORTGAGE,debt_consolidation,1
APP100246,58,76181.03,33.0,9219.79,551.0,7438.54,9,19,1,RENT,debt_consolidation,0
APP100247,41,46162.34,37.0,49446.34,806.0,2923.58,6,24,1,OWN,debt_consolidation,0
APP100248,59,72156.13,26.0,13039.47,716.0,6310.92,6,17,1,RENT,debt_consolidation,0
APP100249,23,41428.02,13.0,15449.77,645.0,1964.55,1,16,1,MORTGAGE,debt_consolidation,0
APP100250,29,37823.8,34.0,5236.34,668.0,2542.54,3,24,1,OWN,business,0
APP100251,45,22735.91,29.0,4739.18,628.0,1181.15,0,7,0,RENT,business,1
APP100252,30,36532.76,11.0,15954.45,549.0,947.95,13,14,3,MORTGAGE,credit_card,1
APP100253,37,36553.31,13.0,8354.78,732.0,3358.48,14,17,1,MORTGAGE,debt_consolidation,1
APP100254,53,18332.73,39.0,20013.71,718.0,7044.62,1,24,2,MORTGAGE,home_improvement,0
APP100255,28,27729.06,38.0,10784.66,491.0,4483.51,12,10,1,RENT,home_improvement,1
APP100256,54,30895.28,27.0,83601.58,668.0,12434.47,10,15,0,MORTGAGE,business,0
APP100257,26,44655.81,1.0,7454.76,676.0,3589.47,4,6,1,RENT,business,1
APP100258,29,45737.56,9.0,12499.94,624.0,901.35,2,9,2,MORTGAGE,debt_consolidation,1
APP100259,49,27155.66,14.0,6145.73,817.0,6472.74,9,22,5,RENT,business,1
APP100260,59,45909.84,21.0,19521.04,809.0,2073.88,0,25,1,RENT,credit_card,0
APP100261,29,33155.39,34.0,13688.45,619.0,5435.49,2,5,1,RENT,business,1
APP100262,35,8648.92,33.0,5903.41,632.0,789.67,1,29,0,MORTGAGE,home_improvement,0
APP100263,66,28499.7,10.0,8687.4,622.0,3944.04,2,17,1,MORTGAGE,credit_card,1
APP100264,69,62286.15,4.0,23935.09,601.0,8622.7,0,29,3,RENT,home_improvement,1
APP100265,49,15663.64,11.0,22270.66,576.0,7819.56,5,22,0,RENT,debt_consolidation,1
APP100266,42,38420.47,9.0,4497.89,690.0,4021.48,12,3,1,MORTGAGE,home_improvement,0
APP100267,37,80228.22,35.0,7945.95,806.0,4717.03,4,1,2,RENT,debt_consolidation,0
APP100268,51,24827.16,0.0,31345.88,774.0,3301.89,3,27,0,MORTGAGE,credit_card,0
APP100269,49,36354.55,33.0,9506.14,713.0,3871.36,14,20,1,RENT,debt_consolidation,1
APP100270,35,18920.32,26.0,11731.74,457.0,8114.59,7,25,0,RENT,credit_card,1
APP100271,22,81929.6,4.0,19460.83,500.0,2697.52,0,0,0,RENT,business,1
APP100272,28,34833.46,27.0,4725.38,735.0,2917.5,8,4,2,RENT,home_improvement,0
APP100273,67,37172.09,23.0,5980.03,779.0,1389.03,8,24,3,RENT,debt_consolidation,1
APP100274,41,71478.37,0.0,8654.03,694.0,8244.97,6,25,0,MORTGAGE,home_improvement,0
APP100275,44,50551.06,8.0,21650.29,625.0,3805.15,12,8,3,MORTGAGE,home_improvement,1
APP100276,43,23439.68,13.0,19377.33,758.0,1789.42,10,29,0,RENT,debt_consolidation,0
APP100277,59,26274.68,8.0,16185.32,710.0,9488.91,0,4,1,RENT,credit_card,0
APP100278,24,46512.0,23.0,9667.3,740.0,4533.12,5,9,1,OWN,debt_consolidation,0
APP100279,25,26580.67,24.0,20696.95,501.0,2598.17,8,3,3,OWN,credit_card,1
APP100280,34,12599.07,6.0,9589.39,677.0,9609.33,9,17,4,MORTGAGE,credit_card,1
APP100281,44,35361.52,4.0,14865.24,791.0,3580.45,5,13,0,RENT,car,0
APP100282,53,17324.79,26.0,18164.48,692.0,1340.64,6,18,0,OWN,credit_card,0
APP100283,45,81482.28,18.0,29088.32,725.0,10129.47,3,8,2,RENT,debt_consolidation,0
APP100284,42,39671.72,10.0,10159.91,652.0,2402.78,9,15,0,OWN,debt_consolidation,0
