transaction_id,user_id,amount,timestamp,merchant_category,location,device_type,hour_of_day,is_weekend,distance_from_home,is_fraud
TXN1020358,1714,190.71,2025-01-01 09:50:00,grocery,domestic,pos,11,0,70.89,0
TXN1039177,2251,274.39,2025-01-01 09:56:00,entertainment,domestic,mobile,21,1,91.16,0
TXN1003836,1264,88.99,2025-01-01 09:56:00,online_retail,domestic,pos,8,1,4.18,0
TXN1020681,1813,100.74,2025-01-01 10:07:00,electronics,domestic,mobile,12,0,5.71,0
TXN1015381,2697,7.09,2025-01-01 10:07:00,travel,domestic,pos,4,1,42.28,0
TXN1000418,1537,17.96,2025-01-01 10:11:00,electronics,domestic,web,6,1,16.05,0
TXN1044898,2755,147.55,2025-01-01 10:19:00,gas_station,domestic,mobile,17,0,51.12,0
TXN1006541,1646,83.77,2025-01-01 10:24:00,gas_station,domestic,pos,23,1,9.69,0
TXN1003259,1565,242.84,2025-01-01 10:27:00,electronics,domestic,web,22,0,4.85,0
TXN1045509,319,1.45,2025-01-01 10:41:00,grocery,domestic,mobile,9,1,28.08,0
TXN1039782,2150,33.97,2025-01-01 10:52:00,entertainment,domestic,web,4,0,1.02,0
TXN1006975,2328,3.7,2025-01-01 10:58:00,electronics,domestic,pos,7,0,24.13,0
TXN1029358,1629,21.18,2025-01-01 10:59:00,restaurant,domestic,pos,3,1,8.53,0
TXN1004745,1609,184.86,2025-01-01 11:05:00,grocery,domestic,mobile,4,0,0.84,0
TXN1025440,2525,259.89,2025-01-01 11:16:00,online_retail,domestic,web,3,0,28.59,0
TXN1043277,573,27.48,2025-01-01 11:21:00,online_retail,international,mobile,21,0,90.05,0
TXN1025906,2605,2.7,2025-01-01 11:23:00,utilities,domestic,web,8,1,50.98,0
TXN1024638,1493,45.86,2025-01-01 11:26:00,online_retail,domestic,pos,7,0,20.5,0
TXN1020264,536,74.6,2025-01-01 11:35:00,grocery,domestic,pos,4,0,18.19,0
TXN1032433,982,45.41,2025-01-01 11:36:00,electronics,domestic,web,6,1,69.92,0
TXN1042023,553,55.12,2025-01-01 11:37:00,travel,domestic,web,20,1,6.79,0
TXN1001835,666,47.83,2025-01-01 11:38:00,restaurant,domestic,pos,12,0,38.31,0
TXN1015250,2452,7.19,2025-01-01 11:38:00,restaurant,domestic,pos,18,0,79.19,0
TXN1041051,2727,13.52,2025-01-01 11:39:00,grocery,domestic,web,20,1,18.97,0
TXN1049201,565,28.78,2025-01-01 11:45:00,gas_station,domestic,mobile,2,0,10.45,0
TXN1023167,2360,20.38,2025-01-01 11:50:00,grocery,domestic,pos,14,0,13.24,0
TXN1020333,2660,48.19,2025-01-01 11:57:00,restaurant,domestic,pos,19,1,65.88,0
TXN1004105,966,25.57,2025-01-01 12:00:00,entertainment,domestic,mobile,5,1,55.94,0
TXN1007193,2807,29.19,2025-01-01 12:00:00,online_retail,domestic,web,0,0,12.73,0
TXN1027623,1135,17.43,2025-01-01 12:02:00,travel,domestic,web,6,0,55.38,0
TXN1005431,892,6.69,2025-01-01 12:08:00,gas_station,domestic,pos,5,0,19.82,0
TXN1032759,231,3.9,2025-01-01 12:26:00,gas_station,domestic,web,11,0,16.79,0
TXN1028669,17,132.02,2025-01-01 12:28:00,online_retail,domestic,mobile,10,0,33.98,0
TXN1013738,866,11.49,2025-01-01 12:30:00,grocery,domestic,pos,4,1,100.26,0
TXN1022046,1665,167.43,2025-01-01 12:35:00,restaurant,domestic,mobile,1,0,28.08,0
TXN1036310,2886,560.61,2025-01-01 12:37:00,restaurant,domestic,mobile,6,1,8.29,0
TXN1016145,999,21.87,2025-01-01 12:53:00,entertainment,domestic,mobile,21,0,40.53,0
TXN1043395,1724,14.22,2025-01-01 12:56:00,grocery,domestic,pos,3,1,21.74,0
TXN1029444,798,58.77,2025-01-01 12:58:00,entertainment,domestic,mobile,1,0,43.16,0
TXN1005141,2587,194.61,2025-01-01 13:00:00,utilities,domestic,pos,6,0,114.17,0
TXN1028869,2350,37.62,2025-01-01 13:05:00,utilities,domestic,pos,11,0,27.79,0
TXN1037659,2673,249.47,2025-01-01 13:20:00,electronics,domestic,pos,7,1,108.72,1
TXN1012246,2930,36.14,2025-01-01 13:28:00,grocery,domestic,mobile,10,1,1.09,0
TXN1009466,1272,23.08,2025-01-01 13:32:00,travel,domestic,pos,19,0,28.89,0
TXN1031257,1370,29.6,2025-01-01 13:32:00,entertainment,domestic,mobile,0,0,24.83,0
TXN1008596,2835,158.11,2025-01-01 13:35:00,utilities,domestic,mobile,12,1,45.93,0
TXN1011255,94,17.65,2025-01-01 13:40:00,entertainment,domestic,pos,6,0,33.45,0
TXN1014730,664,44.2,2025-01-01 13:43:00,electronics,domestic,mobile,21,0,43.33,0
TXN1048059,2731,35.94,2025-01-01 13:46:00,electronics,international,web,14,1,33.98,0
TXN1042010,2533,24.78,2025-01-01 13:46:00,travel,domestic,mobile,15,1,0.79,0
TXN1017649,116,40.72,2025-01-01 13:47:00,gas_station,domestic,web,23,1,23.67,0
TXN1005117,2616,83.74,2025-01-01 13:49:00,grocery,domestic,web,13,0,3.23,0
TXN1044513,1091,207.61,2025-01-01 13:56:00,online_retail,international,mobile,20,1,11.71,0
TXN1047326,2521,345.42,2025-01-01 13:56:00,entertainment,domestic,web,23,1,44.68,1
TXN1042902,113,106.22,2025-01-01 14:00:00,grocery,international,mobile,14,0,28.91,0
TXN1044218,2406,29.86,2025-01-01 14:03:00,gas_station,international,mobile,23,0,14.99,0
TXN1009563,2318,51.93,2025-01-01 14:05:00,travel,domestic,web,2,0,26.04,0
TXN1001343,250,3.01,2025-01-01 14:05:00,online_retail,domestic,mobile,17,0,28.69,0
TXN1006010,1712,12.36,2025-01-01 14:06:00,gas_station,domestic,mobile,16,1,10.94,0
TXN1043636,2823,49.39,2025-01-01 14:17:00,electronics,domestic,mobile,7,0,36.01,0
TXN1027114,151,109.9,2025-01-01 14:17:00,utilities,domestic,mobile,19,1,49.25,0
TXN1019298,2647,76.49,2025-01-01 14:17:00,restaurant,domestic,pos,9,1,29.37,0
TXN1036120,895,107.4,2025-01-01 14:31:00,utilities,domestic,mobile,23,1,5.7,0
TXN1022392,642,88.1,2025-01-01 14:36:00,grocery,domestic,mobile,12,0,14.05,0
TXN1038825,812,137.7,2025-01-01 14:43:00,travel,domestic,mobile,10,1,48.47,0
TXN1046164,2841,37.54,2025-01-01 14:51:00,online_retail,domestic,mobile,5,0,54.19,0
TXN1024698,2785,82.7,2025-01-01 15:10:00,travel,domestic,web,21,1,61.92,0
TXN1043187,2072,23.25,2025-01-01 15:27:00,utilities,domestic,pos,19,1,28.59,0
TXN1027979,2928,35.91,2025-01-01 15:30:00,utilities,domestic,pos,21,1,63.4,0
TXN1000973,615,20.2,2025-01-01 15:46:00,entertainment,domestic,mobile,20,0,14.26,0
TXN1045059,1598,23.41,2025-01-01 15:46:00,grocery,international,web,1,1,42.78,1
TXN1001254,1784,83.59,2025-01-01 15:47:00,grocery,domestic,mobile,12,1,17.65,0
TXN1012104,1149,132.6,2025-01-01 15:49:00,online_retail,domestic,mobile,20,0,20.95,0
TXN1032103,1954,19.76,2025-01-01 15:51:00,travel,domestic,mobile,11,1,25.24,0
TXN1042194,1021,15.79,2025-01-01 15:58:00,grocery,domestic,web,2,0,16.09,0
TXN1012453,586,85.51,2025-01-01 16:14:00,entertainment,domestic,pos,23,0,32.11,0
TXN1000808,897,43.21,2025-01-01 16:19:00,electronics,domestic,mobile,21,1,2.87,0
TXN1029003,1618,162.09,2025-01-01 16:20:00,electronics,international,web,14,0,4.21,1
TXN1006084,954,48.65,2025-01-01 16:22:00,electronics,domestic,mobile,23,0,15.56,0
TXN1033317,1587,30.45,2025-01-01 16:22:00,electronics,domestic,mobile,13,0,80.07,0
TXN1029966,157,36.6,2025-01-01 16:29:00,electronics,international,web,19,0,36.66,0
TXN1042124,881,5.6,2025-01-01 16:31:00,online_retail,domestic,mobile,10,0,46.23,0
TXN1046100,310,10.87,2025-01-01 16:34:00,travel,domestic,web,16,1,88.7,1
TXN1017067,2587,93.56,2025-01-01 16:38:00,gas_station,domestic,mobile,19,0,18.03,0
TXN1046366,93,116.92,2025-01-01 17:10:00,online_retail,domestic,mobile,16,0,34.12,0
TXN1037087,404,129.09,2025-01-01 17:11:00,entertainment,domestic,mobile,19,0,40.98,1
TXN1033629,2780,196.95,2025-01-01 17:13:00,utilities,domestic,mobile,9,1,46.0,1
TXN1043085,2299,106.97,2025-01-01 17:17:00,electronics,domestic,pos,6,1,24.62,0
TXN1016925,1483,14.6,2025-01-01 17:17:00,grocery,domestic,web,22,0,29.66,0
TXN1039377,1584,65.74,2025-01-01 17:21:00,travel,domestic,mobile,23,1,1.24,0
TXN1031494,524,104.76,2025-01-01 17:25:00,electronics,domestic,pos,14,0,11.38,0
TXN1032262,1748,14.47,2025-01-01 17:25:00,travel,domestic,mobile,3,0,65.71,0
TXN1011138,2033,361.48,2025-01-01 17:26:00,grocery,domestic,mobile,9,0,12.88,0
TXN1002387,97,21.41,2025-01-01 17:29:00,online_retail,domestic,mobile,12,1,73.91,0
TXN1036339,849,11.92,2025-01-01 17:30:00,travel,domestic,mobile,9,1,54.83,0
TXN1038785,2186,9.5,2025-01-01 17:36:00,entertainment,domestic,web,4,0,15.81,0
TXN1004212,1040,14.83,2025-01-01 17:41:00,entertainment,domestic,mobile,4,1,9.34,0
TXN1037984,87,14.79,2025-01-01 17:45:00,gas_station,domestic,mobile,3,0,14.17,0
TXN1033118,2676,129.49,2025-01-01 17:48:00,electronics,domestic,mobile,12,1,122.33,0
TXN1045047,681,218.71,2025-01-01 17:51:00,online_retail,domestic,web,1,0,41.68,1
TXN1048401,2578,37.24,2025-01-01 17:54:00,grocery,domestic,web,0,1,10.94,0
TXN1008085,394,1.96,2025-01-01 18:03:00,travel,domestic,web,18,0,49.58,0
TXN1012928,2387,6.98,2025-01-01 18:04:00,gas_station,international,web,18,0,8.37,0
TXN1047478,1244,259.65,2025-01-01 18:04:00,electronics,domestic,web,13,1,41.55,0
TXN1001759,987,11.59,2025-01-01 18:08:00,restaurant,domestic,mobile,16,1,3.53,0
TXN1022705,535,7.1,2025-01-01 18:10:00,grocery,domestic,pos,16,1,19.47,0
TXN1016492,1107,20.35,2025-01-01 18:10:00,electronics,domestic,web,6,1,15.63,0
TXN1018739,234,27.03,2025-01-01 18:14:00,entertainment,domestic,web,17,0,4.04,0
TXN1019774,2383,985.97,2025-01-01 18:17:00,electronics,domestic,pos,20,0,3.51,1
TXN1044099,804,743.47,2025-01-01 18:27:00,travel,domestic,web,19,1,35.93,1
TXN1039584,1340,217.05,2025-01-01 18:27:00,restaurant,domestic,web,23,1,32.54,0
TXN1000108,393,32.76,2025-01-01 18:29:00,gas_station,domestic,mobile,9,1,11.12,0
TXN1019381,1346,64.33,2025-01-01 18:30:00,grocery,international,mobile,1,0,11.96,0
TXN1017697,922,288.51,2025-01-01 18:35:00,grocery,domestic,mobile,4,0,13.2,1
TXN1003862,2306,12.84,2025-01-01 18:59:00,entertainment,domestic,pos,12,1,102.79,0
TXN1012168,703,163.98,2025-01-01 19:00:00,gas_station,domestic,pos,15,0,7.35,0
TXN1007046,2333,20.62,2025-01-01 19:01:00,electronics,domestic,pos,18,0,24.36,0
TXN1004151,1795,259.47,2025-01-01 19:03:00,electronics,domestic,mobile,21,0,80.31,0
TXN1016296,2982,75.3,2025-01-01 19:05:00,restaurant,domestic,web,4,1,26.91,0
TXN1036938,1923,36.4,2025-01-01 19:10:00,travel,domestic,web,16,1,42.22,0
TXN1015636,1058,15.03,2025-01-01 19:15:00,travel,domestic,mobile,16,0,40.79,0
TXN1029432,1079,21.1,2025-01-01 19:26:00,grocery,domestic,mobile,20,1,40.26,0
TXN1031413,1494,25.99,2025-01-01 19:29:00,travel,domestic,mobile,9,1,40.32,0
TXN1015991,1175,35.28,2025-01-01 19:31:00,gas_station,domestic,mobile,18,0,57.51,0
TXN1033568,527,104.07,2025-01-01 19:31:00,entertainment,domestic,web,11,0,32.77,0
TXN1000437,315,12.11,2025-01-01 19:36:00,electronics,domestic,mobile,22,1,13.56,0
TXN1048280,1777,18.07,2025-01-01 19:47:00,gas_station,domestic,pos,15,1,18.92,0
TXN1021750,2570,37.93,2025-01-01 19:49:00,travel,domestic,mobile,7,0,39.07,0
TXN1047930,211,42.5,2025-01-01 19:50:00,gas_station,domestic,pos,5,0,42.36,0
TXN1035423,182,10.05,2025-01-01 19:54:00,restaurant,domestic,mobile,19,1,2.92,0
TXN1048516,340,127.48,2025-01-01 19:54:00,electronics,domestic,mobile,17,0,84.96,0
TXN1037802,2673,75.12,2025-01-01 19:57:00,travel,domestic,web,10,1,52.83,0
TXN1020938,1051,2.51,2025-01-01 20:22:00,electronics,domestic,pos,22,0,12.1,0
TXN1020396,2944,22.37,2025-01-01 20:25:00,restaurant,domestic,pos,3,0,42.9,0
TXN1010320,40,41.76,2025-01-01 20:26:00,grocery,domestic,mobile,18,0,6.15,0
TXN1012532,1075,14.44,2025-01-01 20:27:00,entertainment,domestic,web,2,1,46.46,0
TXN1032024,2310,42.9,2025-01-01 20:49:00,grocery,domestic,mobile,21,0,28.86,0
TXN1044104,2125,40.81,2025-01-01 21:00:00,gas_station,domestic,mobile,20,0,8.37,0
TXN1047942,840,238.98,2025-01-01 21:03:00,utilities,domestic,web,4,0,4.07,1
TXN1040384,2142,143.99,2025-01-01 21:09:00,electronics,domestic,mobile,13,1,44.97,0
TXN1001270,2379,11.9,2025-01-01 21:11:00,online_retail,domestic,mobile,18,0,8.35,0
TXN1012240,325,7.83,2025-01-01 21:18:00,gas_station,domestic,web,19,0,30.2,0
TXN1000402,29,34.25,2025-01-01 21:20:00,gas_station,domestic,web,18,0,21.1,0
TXN1035001,2776,33.65,2025-01-01 21:36:00,online_retail,domestic,pos,15,1,2.2,0
TXN1027827,1504,158.62,2025-01-01 21:36:00,online_retail,domestic,mobile,0,0,44.66,0
TXN1035792,1353,54.89,2025-01-01 21:40:00,gas_station,domestic,pos,18,0,18.22,0
TXN1036994,1507,28.48,2025-01-01 21:42:00,gas_station,domestic,web,20,0,28.9,0
TXN1042251,2880,94.71,2025-01-01 21:55:00,gas_station,domestic,web,12,0,83.63,0
TXN1036430,2698,43.56,2025-01-01 22:02:00,gas_station,domestic,web,3,1,103.09,1
TXN1044331,953,1.69,2025-01-01 22:03:00,electronics,domestic,mobile,1,0,46.12,0
TXN1007472,2186,3.34,2025-01-01 22:03:00,electronics,domestic,pos,21,0,24.21,0
TXN1018844,923,14.43,2025-01-01 22:03:00,electronics,domestic,mobile,22,0,29.19,0
TXN1025374,2321,6.16,2025-01-01 22:09:00,online_retail,domestic,pos,14,1,27.18,0
TXN1033328,2232,74.69,2025-01-01 22:13:00,electronics,domestic,mobile,4,1,28.4,0
TXN1041280,2693,19.19,2025-01-01 22:28:00,gas_station,domestic,web,22,1,13.89,0
TXN1043159,1996,32.63,2025-01-01 22:32:00,entertainment,domestic,web,7,1,3.28,0
TXN1019792,203,41.72,2025-01-01 22:32:00,online_retail,domestic,mobile,20,1,14.02,0
TXN1018678,1829,75.44,2025-01-01 22:32:00,online_retail,domestic,mobile,14,1,41.98,0
TXN1019092,2621,25.31,2025-01-01 22:36:00,electronics,domestic,mobile,9,1,16.35,0
TXN1047361,2969,6.43,2025-01-01 22:36:00,grocery,domestic,pos,3,0,12.15,0
TXN1013717,2546,2.28,2025-01-01 22:43:00,restaurant,domestic,mobile,13,0,15.45,0
TXN1018405,529,302.5,2025-01-01 22:46:00,gas_station,domestic,pos,20,1,39.92,0
TXN1011581,2096,48.45,2025-01-01 22:50:00,online_retail,domestic,pos,19,1,71.66,0
TXN1047887,2570,31.34,2025-01-01 23:01:00,online_retail,domestic,mobile,2,1,22.14,0
TXN1006810,1450,72.28,2025-01-01 23:02:00,restaurant,domestic,web,18,1,19.44,0
TXN1003297,1102,6.33,2025-01-01 23:03:00,grocery,domestic,pos,0,1,92.29,1
TXN1013206,2772,8.89,2025-01-01 23:22:00,utilities,domestic,web,20,0,19.81,0
TXN1000368,2549,40.13,2025-01-01 23:24:00,travel,international,mobile,1,1,2.78,0
TXN1009588,2931,9.55,2025-01-01 23:34:00,utilities,domestic,mobile,14,0,35.88,0
TXN1033145,1261,25.57,2025-01-01 23:43:00,online_retail,domestic,mobile,9,0,4.26,0
TXN1020438,206,35.82,2025-01-01 23:44:00,utilities,domestic,web,4,0,29.93,0
TXN1025889,77,6.63,2025-01-01 23:47:00,restaurant,domestic,mobile,15,0,7.3,0
TXN1010916,1172,13.87,2025-01-02 00:01:00,online_retail,domestic,pos,13,1,25.46,0
